timestamp,coin,price_usd
2025-06-11T02:23:25,bitcoin,109661
2025-06-11T02:23:25,ethereum,2786.25
2025-06-11T02:35:17,bitcoin,109593
2025-06-11T02:35:17,ethereum,2782.57
2025-06-11T03:49:29,bitcoin,109672
2025-06-11T03:49:29,ethereum,2793.87
2025-06-11T04:31:44,bitcoin,109660
2025-06-11T04:31:44,ethereum,2792.57
2025-06-11T05:23:12,bitcoin,109475
2025-06-11T05:23:12,ethereum,2792.53
2025-06-11T06:33:47,bitcoin,109466
2025-06-11T06:33:47,ethereum,2785.87
2025-06-11T07:22:32,bitcoin,109647
2025-06-11T07:22:32,ethereum,2795.24
2025-06-11T08:31:19,bitcoin,109534
2025-06-11T08:31:19,ethereum,2779.61
